city,city_ascii,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Spring Valley,Spring Valley,MN,Minnesota,27045,Fillmore,27045,Fillmore,43.6888,-92.3897,2421,317,polygon,FALSE,TRUE,America/Chicago,3,55975,1840043024
Fergus Falls,Fergus Falls,MN,Minnesota,27111,Otter Tail,27111,Otter Tail,46.2854,-96.0759,12673,370,polygon,FALSE,TRUE,America/Chicago,3,56537 56538,1840042363
Ranier,Ranier,MN,Minnesota,27071,Koochiching,27071,Koochiching,48.6066,-93.3531,571,206,polygon,FALSE,TRUE,America/Winnipeg,3,56668 56649,1840043692
Mendota,Mendota,MN,Minnesota,27037,Dakota,27037,Dakota,44.8876,-93.1609,209,315,polygon,FALSE,TRUE,America/Chicago,3,55150,1840042708
Pipestone,Pipestone,MN,Minnesota,27117,Pipestone,27117,Pipestone,43.9958,-96.3117,3829,375,polygon,FALSE,TRUE,America/Chicago,3,56164,1840042858
Tracy,Tracy,MN,Minnesota,27083,Lyon,27083,Lyon,44.2389,-95.615,2056,335,polygon,FALSE,TRUE,America/Chicago,3,56175,1840043067
Boy River,Boy River,MN,Minnesota,27021,Cass,27021,Cass,47.1669,-94.1234,49,44,polygon,FALSE,TRUE,America/Chicago,3,56672,1840043616
Scandia,Scandia,MN,Minnesota,27163,Washington,27163,Washington,45.254,-92.8278,4120,45,polygon,FALSE,TRUE,America/Chicago,3,55073 55047,1840042986
Madison,Madison,MN,Minnesota,27073,Lac qui Parle,27073,Lac qui Parle,45.0127,-96.1889,1417,521,polygon,FALSE,TRUE,America/Chicago,3,56256,1840042662
Ivanhoe,Ivanhoe,MN,Minnesota,27081,Lincoln,27081,Lincoln,44.4651,-96.252,538,233,polygon,FALSE,TRUE,America/Chicago,3,56142,1840042543
Sherburn,Sherburn,MN,Minnesota,27091,Martin,27091,Martin,43.6547,-94.7273,1095,470,polygon,FALSE,TRUE,America/Chicago,3,56171,1840042996
Lansing,Lansing,MN,Minnesota,27099,Mower,27099,Mower,43.7476,-92.9658,180,88,polygon,FALSE,FALSE,America/Chicago,3,55950 55912,1840117499
Woodbury,Woodbury,MN,Minnesota,27163,Washington,27163,Washington,44.9056,-92.923,69756,771,polygon,FALSE,TRUE,America/Chicago,3,55129 55125,1840043739
Luverne,Luverne,MN,Minnesota,27133,Rock,27133,Rock,43.6533,-96.2146,4496,495,polygon,FALSE,TRUE,America/Chicago,3,56156,1840042656
